Total Size (X, Y): 90 x 90
Considering Position <18, 58> at step 584
Considering Position <33, 49> at step 589
Considering Position <32, 50> at step 589
Considering Position <32, 48> at step 589
Considering Position <33, 50> at step 591
Considering Position <33, 50> at step 592
Considering Position <32, 51> at step 592
Considering Position <24, 57> at step 593
Considering Position <32, 52> at step 594
Considering Position <31, 51> at step 594
Considering Position <25, 57> at step 595
Considering Position <24, 58> at step 595
Considering Position <24, 56> at step 595
Considering Position <33, 40> at step 596
Considering Position <32, 41> at step 596
Considering Position <9, 48> at step 598
Considering Position <10, 47> at step 598
Considering Position <27, 54> at step 599
Considering Position <33, 47> at step 600
Considering Position <32, 48> at step 600
Considering Position <27, 55> at step 602
Considering Position <13, 17> at step 603
Considering Position <12, 16> at step 603
Considering Position <32, 42> at step 605
Considering Position <31, 41> at step 605
Considering Position <27, 56> at step 606
Considering Position <14, 17> at step 607
Considering Position <34, 47> at step 608
Considering Position <15, 17> at step 609
Considering Position <14, 18> at step 609
Considering Position <14, 16> at step 609
Considering Position <35, 47> at step 610
Considering Position <34, 48> at step 610
Considering Position <34, 46> at step 610
Considering Position <12, 62> at step 612
Considering Position <11, 61> at step 612
Considering Position <27, 27> at step 613
Considering Position <28, 27> at step 614
Considering Position <29, 27> at step 615
Considering Position <25, 58> at step 618
Considering Position <10, 59> at step 619
Considering Position <30, 27> at step 621
Considering Position <29, 28> at step 621
Considering Position <29, 26> at step 621
Considering Position <25, 59> at step 623
Considering Position <24, 58> at step 623
Considering Position <5, 36> at step 624
Considering Position <30, 28> at step 625
Considering Position <2, 27> at step 626
Considering Position <26, 59> at step 627
Considering Position <25, 60> at step 627
Considering Position <30, 29> at step 629
Considering Position <29, 28> at step 629
Considering Position <9, 18> at step 631
Considering Position <10, 17> at step 631
Considering Position <31, 29> at step 632
Considering Position <30, 30> at step 632
Considering Position <10, 55> at step 633
Considering Position <10, 53> at step 633
Considering Position <15, 18> at step 634
Considering Position <15, 16> at step 634
Considering Position <27, 57> at step 635
Considering Position <15, 19> at step 637
Considering Position <14, 18> at step 637
Considering Position <28, 57> at step 638
Considering Position <27, 58> at step 638
Considering Position <11, 16> at step 639
